City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
406,Turukhansk,RU,75.65,clear sky,65.8167,87.9833,"ООО ""Туруханская пушнина"""
412,Tamayo,DO,76.86,overcast clouds,18.3947,-71.2029,La perla Del Caribe
413,Panguna,PG,82.51,clear sky,-6.3164,155.4848,
414,Hambantota,LK,80.94,few clouds,6.1241,81.1185,Bungalow 63
416,Goure,NE,83.01,few clouds,13.9835,10.2704,
421,Gaoyou,CN,88.68,clear sky,32.7858,119.4278,如家快捷酒店
423,Bima,ID,86.58,broken clouds,-8.4667,118.7167,Lambitu Hotel
424,Auki,SB,82.18,overcast clouds,-8.7676,160.7034,Auki Motel
427,Port Hedland,AU,78.85,clear sky,-20.3167,118.5667,The Esplanade Hotel
429,Praia,CV,75.74,mist,14.9215,-23.5087,LT Aparthotel
433,Wajima,JP,79.48,scattered clouds,37.4,136.9,Wajiima Onsen Yashio
434,Bairiki,KI,86.0,broken clouds,1.3292,172.9752,Tarawa Boutique Hotel
435,Susaki,JP,77.07,overcast clouds,33.3667,133.2833,Awa
437,Hobbs,US,85.19,broken clouds,32.7026,-103.136,Best Western Executive Inn
438,Rosemount,US,89.37,clear sky,44.7394,-93.1258,Rosemount Woods
439,Akyab,MM,79.07,light rain,20.15,92.9,Hotel Memory
440,Merrill,US,76.77,clear sky,45.1805,-89.6835,Prairie Motel
443,Zunyi,CN,78.87,overcast clouds,27.6867,106.9072,Bishiluo Hostel
445,Ternate,ID,82.72,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
452,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
454,Chacarita,CR,75.04,light rain,9.9829,-84.7723,Cabinas La Fuente
455,Labuhan,ID,83.62,scattered clouds,-6.8844,112.2051,DoubleFAG
456,Ciudad Bolivar,VE,76.15,few clouds,8.1222,-63.5497,Hotel Edi
457,Pokhara,NP,77.09,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
459,Gushikawa,JP,87.8,broken clouds,26.3544,127.8686,Kirari Guest House
464,Bubaque,GW,80.04,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
466,Bani,DO,78.24,few clouds,18.2833,-70.3333,Hospedaje Henriquez
469,Bathsheba,BB,81.21,few clouds,13.2167,-59.5167,Atlantis Hotel
470,Kiunga,PG,83.7,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
